admin_name,admin_level,feature_id,mean,median,count,sum
RWA.1.2.17.1_1,cell_id,147,0.0,0.0,84,0.0
RWA.1.2.17.2_1,cell_id,148,0.0,0.0,96,0.0
RWA.1.2.17.3_1,cell_id,149,0.0133549925,0.0,117,1.5625341
RWA.1.2.17.4_1,cell_id,150,0.24981222,0.0,88,21.983475
RWA.1.2.17.5_1,cell_id,151,0.0,0.0,110,0.0
RWA.1.2.18.1_1,cell_id,152,0.0,0.0,63,0.0
RWA.1.2.18.2_1,cell_id,153,0.0,0.0,63,0.0
RWA.1.2.18.3_1,cell_id,154,0.0,0.0,42,0.0
RWA.1.2.18.4_1,cell_id,155,0.0,0.0,72,0.0
RWA.1.2.18.5_1,cell_id,156,0.0,0.0,42,0.0
RWA.1.2.18.6_1,cell_id,157,0.0,0.0,54,0.0
RWA.1.2.19.1_1,cell_id,158,0.05610478,0.0,48,2.6930294
RWA.1.2.19.2_1,cell_id,159,0.0,0.0,35,0.0
RWA.1.2.19.3_1,cell_id,160,0.10255774,0.0,56,5.7432337
RWA.1.2.19.4_1,cell_id,161,0.04578864,0.0,84,3.8462455
RWA.1.2.19.5_1,cell_id,162,0.0,0.0,64,0.0
RWA.1.2.19.6_1,cell_id,163,0.0,0.0,54,0.0
RWA.1.2.19.7_1,cell_id,164,0.0,0.0,54,0.0
RWA.1.2.19.8_1,cell_id,165,0.0046039135,0.0,90,0.4143522
RWA.1.3.1.1_1,cell_id,166,0.010203533,0.0,160,1.6325653
RWA.1.3.1.2_1,cell_id,167,0.0,0.0,99,0.0
RWA.1.3.1.3_1,cell_id,168,0.0,0.0,110,0.0
RWA.1.3.1.4_1,cell_id,169,0.0,0.0,252,0.0
RWA.1.3.2.1_1,cell_id,170,0.0,0.0,99,0.0
RWA.1.3.2.2_1,cell_id,171,0.0,0.0,225,0.0
RWA.1.3.2.3_1,cell_id,172,0.10762772,0.0,78,8.394962
RWA.1.3.2.4_1,cell_id,173,0.0,0.0,117,0.0
RWA.1.3.3.1_1,cell_id,174,0.76477385,0.0,110,84.12512
RWA.1.3.3.2_1,cell_id,175,0.61938244,0.0,72,44.595535
RWA.1.3.3.3_1,cell_id,176,0.16641696,0.0,56,9.319349
RWA.1.3.3.4_1,cell_id,177,0.011187826,0.0,96,1.0740314
RWA.1.3.3.5_1,cell_id,178,0.078428105,0.0,77,6.0389643
RWA.1.3.3.6_1,cell_id,179,0.17528196,0.0,72,12.620301
RWA.1.3.3.7_1,cell_id,180,0.0757207,0.0,60,4.543242
RWA.1.3.3.8_1,cell_id,181,0.33929634,0.0,80,27.143707
RWA.1.3.3.9_1,cell_id,182,0.24164397,0.0,165,39.871254
RWA.1.3.4.1_1,cell_id,183,0.01668519,0.0,35,0.58398163
RWA.1.3.4.2_1,cell_id,184,0.0,0.0,30,0.0
RWA.1.3.4.3_1,cell_id,185,0.054898888,0.0,54,2.96454
RWA.1.3.4.4_1,cell_id,186,0.0,0.0,40,0.0
RWA.1.3.4.5_1,cell_id,187,0.29094064,0.0,48,13.965151
RWA.1.3.4.6_1,cell_id,188,0.33900502,0.0,96,32.544483
RWA.1.3.5.1_1,cell_id,189,0.0,0.0,121,0.0
RWA.1.3.5.2_1,cell_id,190,0.0,0.0,120,0.0
RWA.1.3.5.3_1,cell_id,191,0.0,0.0,130,0.0
RWA.1.3.6.1_1,cell_id,192,0.7400548,0.0,54,39.96296
RWA.1.3.6.2_1,cell_id,193,0.29574296,0.0,108,31.940239
RWA.1.3.6.3_1,cell_id,194,0.29770994,0.0,64,19.053436
RWA.1.3.6.4_1,cell_id,195,0.009262883,0.0,56,0.51872146
RWA.1.3.6.5_1,cell_id,196,0.33467624,0.0,88,29.451508
RWA.1.3.7.1_1,cell_id,197,0.054431036,0.0,104,5.6608276
RWA.1.3.7.2_1,cell_id,198,0.0,0.0,88,0.0
RWA.1.3.7.3_1,cell_id,199,0.17518352,0.0,88,15.41615
RWA.1.3.7.4_1,cell_id,200,0.3720693,0.0,56,20.83588
RWA.1.3.7.5_1,cell_id,201,0.005780648,0.0,96,0.5549422
RWA.1.3.8.1_1,cell_id,202,0.11360151,0.0,63,7.156895
RWA.1.3.8.2_1,cell_id,203,0.0,0.0,70,0.0
